state,x,y
Andhra Pradesh,-63,-110
Arunachal Pradesh,207,148
Assam,183,102
Bihar,53,77
Chhattisgarh,-11,-10
Goa,-161,-125
Gujarat,-197,24
Haryana,-114,143
Himachal Pradesh,-98,192
Jharkhand,43,36
Karnataka,-135,-145
Kerala,-112,-245
Madhya Pradesh,-91,22
Maharashtra,-149,-43
Manipur,207,73
Meghalaya,148,83
Mizoram,189,35
Nagaland,219,95
Odisha,39,-20
Punjab,-128,172
Rajasthan,-168,96
Sikkim,102,120
Tamil Nadu,-82,-215
Telangana,-65,-75
Tripura,166,45
Uttarakhand,-61,161
Uttar Pradesh,-44,99
West Bengal,95,33
