,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
6,aide,help
7,demande,kind
8,genre,month
9,mois,brother
10,frère,let
11,laisser,because
12,car,to put
13,mettre,no
14,aucun,leash
15,laisse,them
16,eux,city
17,ville,each
18,chaque,speak
19,parlé,come
20,arrivé,should
21,devrait,baby
22,bébé,long time
23,longtemps,hours
24,heures,will
25,pendant,any
26,aucune,square
27,place,speak
28,parle,understood
29,savais,were
30,étaient,Warning
31,attention,here is
32,voici,could
33,pourrais,case
34,affaire,give
35,donner,type
36,type,their
37,leurs,given
38,donné,train
39,train,body
40,corps,eyes
41,yeux,way
42,façon,listen
43,écoute,whose
44,dont,find
45,trouve,first
46,premier,lost
47,perdu,hand
48,main,first
49,première,side
50,côté,power
51,pouvoir,old
52,vieux,be
53,sois,here
54,tiens,morning
55,matin,so much
56,tellement,child
57,enfant,point
58,venu,after
59,suite,sorry
60,pardon,come
61,venez,in front of
62,devant,towards
63,vers,minutes
64,minutes,request
65,chambre,bedroom
66,belle,beautiful
67,droit,law
68,aimerais,would like to
69,aujourd'hui,today
70,mari,husband
71,cause,cause
72,enfin,finally
73,espère,hope
74,eau,water
75,attendez,Wait
76,parti,left
77,nouvelle,new
78,boulot,job
79,arrêter,Stop
80,dirait,would say
81,terre,Earth
82,compte,account
83,donne,given
84,loin,far
85,fin,end
86,chérie,sweetheart
87,gros,large
88,plutôt,rather
89,aura,will have
90,filles,girls
91,jouer,to play
92,bureau,office
